章节,知识点,知识点详情
第一章,"信息资源的特征（2, 2023）","一般经济学特征：
1．需求性：信息不仅本身就是一种重要的生产要素，可以取代（或部分取代）物质原料等非信息投入要素，而且可以通过与这些非信息要素的相互作用，使之增值。
2．稀缺性：信息资源的稀缺并非空间形式的稀缺，更多的是一种时间形式上的稀缺。
3．可选择性：由于信息资源具有极强的渗透性，所以同一信息资源可以作用于不同的对象，并产生不同的效果。经济活动者可以根据这些不同对象所产生的不同效果对信息资源的使用领域进行选择。
特殊型（个性）：
1．相对共享性：不同利用者对信息资源的利用不存在绝对的竞争关系，可以同等程度地共享某一信息资源。
2．不可分割性：信息资源在生产过程和使用过程中具有不可分割性。实现其使用价值，信息资源集合是必要的。
3．不可替代性：不同种资源的信息必定是完全不同的。
4．有效配置性：信息资源具有开发和驾驭其他资源的能力。"
第一章,"信息计量学（2, 2019）",信息计量方法的理论基础是应用数学方法研究，描述信息过程、现象与规律的一门学科，对信息活动中的一切可计量单元进行科学分析并揭示其规律（名词解释：2012、2019年）。
第一章,先验信息（2015）,先验信息就是信宿在接收到信源所发出的信息之前事先了解到的关于随机事件的不确定性
第一章,后验信息（2015）,后验信息就是信宿在接收到信源所发出的信息之后所产生的关于随机事件的不确定性
第一章,"实得信息（2, 2023）",实得信息就是信宿在信息输入过程中消除了的不确定性，以及认识主体在认识过程中所获得的信息量（名词解释：2020年）
第一章,"引文分析法（2, 2020）",引文分析法即以引文统计数据为基础对信息可计量单元之间的引用和被引用现象进行分析研究，从而揭示其数量特征和内在规律（名词解释：2014、2020年）。 
第一章,引文耦合（2017）,引文耦合：若两个文本同时引用一篇或多篇相同文本，则这两个文本即具有引文耦合关系。他们引用的相同文本的数量及耦合强度，耦合强度越大，表明两个文本的关系越密切（简答题：2009）。
第一章,同被引（2017）,同被引：两个文本同时被一个或多个相同文本引用，则这两个文本即具有同被引关系。同时被引用的相同文本的数量即同被引强度，同被引强度越高，两个文本的关系越密切（简答题：2009）。
第一章,自引（2017）,自引：文本责任者引用自己负有责任的文本或与他人合作的文本。
第一章,信息采全率（2017）,信息采全率指对某一信息系统全体用户而言，该信息系统所含的满足用户需要的信息在当时该系统内外所有满足用户需要信息中所占的比例（简答题：2017年）
第一章,"信息采准率（2, 2023）",信息采准率指对某一信息系统全体用户而言，该信息系统所含的满足用户需要的信息在该系统所有信息中所占的比例（简答题：2017年）
第一章,"布鲁克斯基本方程式（2,2024）",布鲁克斯基本方程式表述了信息的价值与人的知识结构或信息结构的相关性和发展变化（名词解释：2010年）。
第一章,沃尔肯斯坦因公式,沃尔肯斯泰因公式是信息对于信息用户使用价值的计算公式 
第一章,布拉德福定律（2011）,即科学文献数量与科学期刊数量关系：如果将科学期刊按照其刊载某个学科主题的论文数量，以递减顺序排列起来，就可以在期刊中区分出载文率最高的核心部分和包含着与核心部分同等数量论文的随后几区，这时核心区和后继各区所含的期刊数量成1:a:a2……的关系（简答题：2011年）。
第一章,洛特卡定律,它描述了著者与文献数量的关系。根据洛特卡定律，任何一组作者的作品数量与其产出一定量作品的作者人数成反比。也就是说，少数作者产出了大部分的文献，而大多数作者只产出很少的文献。
第一章,齐夫定律,它揭示了文献中词汇的分布规律。在文献计量学中，齐夫定律描述了某个单词在文献中出现的频率与该单词在所有单词中的排名成反比。也就是说，频率最高的单词在排名上位居前列（即排名数值较小），频率较低的单词在排名上位于后面（即排名数值较大）。
第二章,"信息环境（2, 2015）",信息环境，即社会信息环境，是与社会信息交流活动有关因素的集合，是影响整个社会信息交流活动的具体社会条件和社会基础的表征。
第二章,泛在网,泛在网（Pervasive Network）是一种普适、无处不在的网络环境，它是指计算机、传感器、通信设备等各种设备被网络连接起来，形成一个无处不在的、相互连接的、信息普及的网络环境，用户可以在任何时间、任何地点获取信息和服务。
第二章,盖茨法则,当硅谷的数字脑袋中有一个可笑的念头出现时，会迅速传播开来，并影响美国企业界的心理。
第二章,普莱斯法则,是指某一时期世界各国科技论文量和各国国内生产总值总体上呈正比例关系。
第二章,帕尔凯维奇定律,是指信息需求的增长与人均国民收入的平方大致成正比。
第二章,"信息社会主要理论（4, 2023）",德鲁克的知识经济论、贝尔的后工业社会说、托夫勒的第三次浪潮、奈斯比特的信息社会说 等（详情见博客专栏内容或书中相关描述）
第二章,马丁信息社会五大标准,"马丁的信息社会五大标准：
1. 技术标准：信息技术成为社会的关键性能动力量
2. 社会标准：信息保证提高人们的生活质量
3. 经济标准：信息成为关键的经济因素，是资源，是服务活动，是流通的商品，也是就业和增值的源泉
4. 政治标准：信息能够增强民主和自由
5. 文化标准：信息具有文化价值"
第二章,恩格尔系数与信息系数（2014）,恩格尔系数越高，信息系数越低，两者关系呈反比。
第二章,信息社会的特征分析,"1. 信息数量激增：信息爆炸和信息激增，大数据时代已经到来。
2. 信息应用泛化：信息用户具有广泛性和信息工具的大众化水平。
3. 信息意识的强化：追求信息质量和信息行为的表现形式。如更多地人都喜欢使用简洁明了的markdown进行文本编辑，而非office。
4. 信息职业的扩大：信息职业就是创造、处理、存储和分配信息的职业，把专门进行数据管理或类似工作的人员称为灰领阶层。随着AI的迅速发展，出现了“提示词工程师”等职业，也许在某一天会出现一个新的AI阶层。
5. 信息经济的存在：信息交流是国民经济发展的倍乘因子。你有一个苹果，我有一个苹果，我们交换一下，也许就有一颗苹果树。
6. 信息功能的硬化：劳动者、劳动工具和劳动对象的渗透和融合发展。"
第二章,"灰领阶层（2, 2018）",信息职业就是创造、处理、存储和分配信息的职业，把专门进行数据管理或类似工作的人员称为灰领阶层。
第二章,麦特卡夫定律（2013）,网络的价值同网络用户数量的平方成正比，即N个连接创造出N*N的效益。网络中的价值不仅取决于其规模，还取决于连接设备的数量。
第二章,长尾定律（2017）,在网络时代，人们可能以很低的成本关注正态分布曲线的“尾部”，关注“尾部”产生的总体效益甚至会超过“头部”
第二章,国内外信息化主要测度方法（2019）,"国内：中国信息化发展指数、中国国家信息化指数、中国国家统计局社会信息化水平测度指数、中国社会信息化进程测度指数。
国外：日本信息化指数、产业信息化指数、IDC信息社会指数、马克卢普-波拉特信息经济规模测度、经济合作与发展组织知识经济测度、知识社会评价指标、世界经济论坛网络就绪指数、信息化扩散指数、国际电信联盟信息化发展指数、欧洲数字竞争力报告指数等"
第二章,"信息文化（5, 2022）",信息文化作为一种具有特殊内容和表现手段的文化形态，是人们在社会活动中依赖以信息、信息资源、信息技术为支点的信息活动而创造的物质和精神财富。
第二章,信息文化的一般特征,"1. 动态开发性：信息技术的发展日新月异，不断涌现新的技术和应用场景，例如人工智能、区块链等。
2. 即时发展性：信息技术的发展速度非常快，新技术和应用不断涌现，随时可以获得最新的信息和资源。
3. 技术推动性：信息技术在推动社会发展方面发挥着重要的作用，例如智能制造、智慧城市等新型产业的兴起。"
第二章,信息文化的时代特征（2009）,"1. 交往快捷化：随着网络技术的普及，人们可以通过社交媒体、即时通讯工具等方式快速地进行交流和互动，例如微信、微博等社交平台，使得信息的传播速度大大提高。
2. 道德多元化：信息时代的道德/观念比较多元化，人们的价值观和行为准则在不断地变化，例如网络上的某些言论和行为会因为不同的背景和文化而产生不同的解释和评价。
3. 组织分散化：传统的组织形态在信息时代发生了很大的变化，例如互联网上的社群组织，由于成员可以随时加入和退出，组织形式相对于传统的组织更为灵活。
4. 生活个性化：信息时代赋予了人们更多的选择和自由，人们可以根据自己的兴趣和需求自主地获取信息和服务，例如基于个人兴趣和偏好推荐的信息服务和电子商务平台。
5. 结构复杂化：信息时代的结构比较复杂，例如由于信息和技术的发展，产业和经济结构发生了很大变化，如电子商务和移动支付等新兴产业的兴起和发展。"
第二章,SoLoMo（2016）,SoLoMo是社交、本地和移动的缩写，是指一种新的商业模式和营销策略。它融合了社交网络、本地化服务和移动技术，可以通过移动设备，让用户随时随地获取和分享信息。
第三章,信息交流,
第三章,拉斯韦尔公式（2012）,拉斯韦尔公式（5W）：谁，说了什么，通过什么渠道、对谁、取得了什么效果。
第三章,布雷多克公式（2012）,布雷多克公式（7W）：谁，说了什么，通过什么渠道，对谁、在什么情况下，为了什么目的，取得了什么效果。
第三章,信息交流栈模式（2020）,"严怡民、马费成等人提出信息交流的栈模式，主要通过信息交流的三个定义来描述，把信息流动中的社会环节称为信息栈，而信息源与信息栈之间，信息用户与信息栈之间就是一种委托与代理的关系。
 - 定义1：信息交流是指不同时间或空间上的认知主体之间相互交换共享信息的过程，
 - 定义2 ：社会信息流是一种社会信息现象，是信息从生产者S，而不是其他中介者经过或不经过其他社会环节，最终转移到使用者R的流动过程，
 - 定义3 ：信息栈W是信息从生产者S向使用者R流动过程中所经过的环节，W1 ，W2， Wn必须是人或人工系统，其功能是接收处理和传递信息。"
第三章,法约尔跳板（2009）,法国管理学家法约尔认为为了保证统一指挥，从最高权威者到最低层管理者等级系列是必要的，但在紧急情况下和解决例外问题时，上下级和各部门之间有必要跨越指挥链而进行直接的信息联系，建立及时交换信息的天桥或跳板，也就是法约尔跳板或法约尔桥，即尊重等级和横搭跳板的信息传递原则
第三章,共时信息交流,共时信息交流是横向信息交流，主要以消除信息的空间障碍为目标，以信息及时传递为主要手段的信息交流形式。
第三章,历时信息交流（2017）,历时信息交流是纵向信息交流，主要以消除信息的时间障碍为目标，以信息记录和保存为主要手段的信息交流形式。
第三章,无形的集体（2018）,在17世纪初期，欧洲科学家波义尔于1646年提出看不见的学院，又称无形的集体，指的是英国皇家学会的前身，由十几名杰出科学家组成的非正式科学信息交流群体，通常以某些学科或专业领域的知名人物为核心，由对某些学科或专业领域感兴趣的人组成，主要采用聚会等方式进行信息交流。
第三章,信息源,信息交流就是社会活动中的信息交流双方借助某种符号系统，利用某种传播渠道，在不同的时间和空间中实现的信息传输和交换行为。从本质上讲，信息交流是相互影响的双向性信息传播，即信息在时空中的移动和变化。
第三章,信息源的评价（2024）,
第三章,信息渠道,信息渠道即信息交流的渠道，就是各种信息得以交流和传递的物理过程和通道，信息渠道对于信息接受者也是一种信息源。
第三章,信息渠道的发展特征,"（一）效率差异性
由于传递机制、传输性能等方面的差异，不同的信息渠道具有不同的传递效率。信息渠道具有的效率差异性，使不同的信息渠道具有不同的信息交流效果。
（二）信源关联性
信息渠道具有既为信息源所选择，又约束信息源与信息用户匹配度的信源关联性。
（三）发展相容性
技术的不断进步和发展使新兴的信息媒介成为主导信息媒介，但传统的信息媒介并不会就此消亡，而是在相当长时间内与新兴信息媒介并存。
具有不同信息传播性能的信息载体和信息媒介之间将相互依存，相互补充，这就是信息渠道和信息媒介的发展相容性。"
第三章,媒介即信息（2015）,在传播学领域中，关于信息媒介著名学者麦克卢汉有一个著名的论断，及“媒介即信息”，他认为信息传播工具是人身体的延伸，媒介决定并限制的人进行联系与活动的规模和形式（2015年）。
第三章,信息用户（2022）,在社会信息管理活动中，把一切可以接受并且需要信息的人称为信息用户，简称用户。
第三章,信息需求（2023）,
第三章,"信息用户的发展周期（5, 2022）","信息用户存在一个循环往复的发展过程，体现了“非用户→理想用户→潜在用户和现实用户→忠实用户和一般用户”的发展周期性。
（一）理想用户
理想用户，在理想状态下，主要受信息机构或活动的性质和任务、信息市场分担和占用情况、现实参与和服务能力三个因素制约而形成最大限度地服务对象就是特定信息机构或活动的理想用户。理想用户可能出现分流。
（二）潜在用户，由于各种不确定原因没有参与特定信息活动或获得信息服务的用户，即潜在用户。（简答题：2014年）
（三）现实用户，参与特定信息活动或获得信息机构的服务的用户即现实用户或当前用户。（简答题：2013年、2014年）
（3）在特定信息活动或信息服务中，信息用户与信息活动的组织者必然形成三种关系：继续建立和维持良好的经常性关系，成为忠实用户；基本维持相互之间的信息联系，成为一般用户；逐步脱离或取消相互之间的信息联系，退化为非用户。"
第三章,信息需求规律的表现（2022）,"1. 用户信息需求的层次性结构：在信息需求从客观状态到表达状态的转换过程中，转换方式和外力影响的差异可能使具有同样客观状态的信息用户表达出来的信息需求各不相同

2. 信息需求的动态均衡性：

   - 信息下需求与信息的生产首先表现出某种程度的平衡性
   - 信息需求与信息生产动态均衡性正是信息管理和服务追求的目标
3. 信息需求的平衡与分化性
   - 罗宾汉效应: 对于具有相同需求环境的大多数用户，他们的信息需求总是比较平衡的。

   - 马太效应: 由于信息技术条件的缺乏、信息可获得性的差异、信息获得期望与现实的差距等原因，低水平的信息满足度可能形成信息用户的心理压抑，弱化信息用户的需求动机，抑制信息用户的信息需求，形成了不同信息用户的信息需求分化，即具有“马太效应”。

4. 个体与组织信息需求的差异性: 不同的信息用户以及不同个体和不同组织之间的信息需求具有差异性"
第三章,罗宾汉效应（2022）,对于具有相同需求环境的大多数用户，他们的信息需求总是比较平衡的，即具有“罗宾汉效应”。
第三章,马太效应（2022）,由于信息技术条件的缺乏、信息可获得性的差异、信息获得期望与现实的差距等原因，低水平的信息满足度可能形成信息用户的心理压抑，弱化信息用户的需求动机，抑制信息用户的信息需求，形成了不同信息用户的信息需求分化，即具有“马太效应”。
第三章,最小努力原则,从多方面加以考虑并结合主客观条件，选择一条符合自己条件和要求的道路，使自己付出最小努力而获得最大报偿。
第三章,信息行为（2021）,信息行为是与信息资源和信息渠道相关的全部人类行为的总称，包括主动和被动的信息寻求与使用行为
第三章,信息素养,能够认识到自己何时需要信息，能够检索、评估和有效利用信息的综合能力。
第三章,社会信息交流的基本矛盾,人类社会信息需求的日益增长和人类社会信息交流的相对滞后的矛盾，构成了一种基本矛盾状态。
第三章,社会信息交流的主要矛盾（2022）,"信息数量绝对激增和信息质量相对贫困
信息相对过剩和信息不虞现象
信息空间的广域和信息壁垒的存在
信息分布的复杂性和信息利用的有序性"
第三章,"信息质量相对不高的原因（3, 2023）","1. 信息数量增长的同时，信息也在不断地老化，信息的老化使得信息总量中有效信息的比率并不随着信息数量增长而绝对同步地上升。
2. 信息数量增长的过程中，有用信息和无用信息都在增长，即增长的信息中有相当一部分是无用信息。
3. 有用信息中，不同质量级别和不同信息形态的信息有不同的增长速度，质量高的信息数量少且增长慢。"
第三章,对等系统P2P,对等（Peer to Peer）系统，指两个或两个以上实体，在互联网上直接通信或协作，彼此共享包括处理能力、程序以及数据在内的共用资源。
第三章,"开放存取OA（2, 2023）",开放存取（Open Access）出版模式，基于订阅的传统出版模式以外的另一种选择，即“发表付费、阅读免费”的科学论文出版方式。
第三章,创新性公产,创新性公产，网络上数字作品的许可授权机制，致力于让任何创新性作品都有机会被更多人分享和再创造，共同促进人类的知识作品在其生命周期内产生最大的价值。
第三章,信息孤岛（2010）,信息孤岛是由于信息技术大力推进而产生的一种新的技术性信息壁垒。调节信息空间广域性和信息壁垒矛盾的关键是建立合理的社会信息交流管理规范，既保证信息空间的有效范围，又保证信息壁垒的合理存在。
第三章,信息迷航,信息迷航，即人们在互联网复杂的信息空间中因多种原因迷失了航向，不清楚其所处的位置，无法返回某个结点，忘记了浏览目标，有目的地寻找变成了一种无目的的漫游，从而导致人在在充满随机性的信息海洋中难于找到解决问题办法的现象。
第三章,"小世界现象（3, 2022）",小世界现象（六度分离），即每个人只需要很少的中间人（平均六个）就可以和全世界的人建立起联系，反映了信息交流与人际交往的关联性，且说明了信息传播在随机之中有规律可循
第三章,"信息分化（3, 2023）",信息分化：又称信息鸿沟、数字鸿沟、信息差距和数字差距，是由于信息技术的迅速发展与有效应用而导出的一种人类社会的不同信息活动主体之间的信息差距及其不断扩大的社会分化现象。
第三章,信息分化的别称,信息鸿沟、数字鸿沟、信息差距和数字差距
第三章,数字鸿沟形成的原因（2024）,是由于信息技术的迅速发展与有效应用而导出的一种人类社会的不同信息活动主体之间的信息差距及其不断扩大的社会分化现象。
第三章,信息垄断,信息垄断，指信息资源、信息设备与信息技术被不合理地分配、控制与享用的状况。 信息专控，把信息生产和传播严格限制在一定的范围内
第三章,信息污染,信息污染，由于信息数量的过分激增和信息有意或无意的错误性传播和使用而造成的对社会信息利用环境的负面干扰和影响。
第四章,信息技术,信息技术是人类开发和利用信息资源的所有技术手段的总称，是人的信息器官功能的延长、增强、补充和扩展。
第四章,"信息技术拟人性（2, 2015）",信息技术拟人性：即人类通过信息技术延长和扩展人类信息器官，以拟人的手段达到辅人的目的（简答题：2011；名词解释：2015年）。
第四章,信息人机共生性,信息人机共生性：即通过人类与信息技术的互补互动，努力实现二者的和谐统一与共同发展。
第四章,现代信息技术的组成（2024）,"从信息管理的角度来看，计算机技术、通信技术、传感技术、微电子技术等可以成为现代
信息技术的核心技术。其中，计算机技术是扩展人的思维器官处理信息和决策的能力；通信技 术是扩展人的神经系统传递信息的能力；传感技术是扩展人的感觉器官收集信息的能力；微电 子技术作为上述技术的基础，可以通过生产出具有高性能、低成本的芯片和元器件来扩展人对 信息的控制和使用能力。"
第四章,"信息技术的社会特征（2009）	","第一，发展支撑性。由于信息技术的基础作用和带头作用，信息、知识、智慧日益成为社会 发展的决定力量，信息技术竞争成为企业、组织和国家信息力竞争乃至实力竞争的重要方面之一。
第二，经济联结性。由于信息技术对生产力 要素的改造，信息劳动者、脑力劳动者、知识分子的作用日益增强，网络成为社会发展的基础 设施，新的社会经济形态已经形成，即数字经济和网络经济。
第三，投入风险性。信息技术是知识、人才和资金密集型的新兴技术体系，信息技术的研 究和开发需要投入大量的资金。"
第四章,"数据挖掘（2, 2015）",数据挖掘是利用各种分析工具，在海量数据中发现模型和数据之间关系的过程，这些模型和关系可以被用来分析风险，进行预测（名词解释：2010、2015年）。
第四章,人工智能,"人工智能就是用计算机来模拟人的智能代替人的部分脑力劳动。
"
第四章,AI的主要应用（2021）,主要包括：机器人、定理证明、专家系统、自然语言处理、机器翻译、智能检索、模式识别（简答题：2021年）。
第四章,数据仓库（2014）,数据仓库是一个面向主题的，集成的，相对稳定的，反映历史变化的数据集合（名词解释：2014年）。
第四章,信息安全（2024）,信息安全技术是研究计算机系统和通信网络内信息的保护方法，通过信息数据的监控，扫描、检测、加密、认证、防攻击、防病毒和审计等活动，实现系统内信息的安全，保密，真实和完整（名词解释：2013年）。
第四章,信息安全技术（2013）,信息安全技术是研究计算机系统和通信网络内信息的保护方法，通过信息数据的监控，扫描、检测、加密、认证、防攻击、防病毒和审计等活动，实现系统内信息的安全，保密，真实和完整（名词解释：2013年）。
第四章,物联网,IOT把所有物品通过信息传感设备与互联网连接起来进行信息交换和通信，实现智能化识别、定位、跟踪、监控和存储。
第四章,云计算（2019）,云计算技术是通过网络将庞大的计算处理程序自动分拆成无数个较小的子程序，交由多台服务器所组成的庞大系统经过搜寻，计算分析，再将处理结果回传给用户，计算分析，再将处理结果回传给用户（名词解释：2019年）。
第四章,SaaS（2023）,用软件解决方案，按需定制云端托管并维护软件
第四章,PaaS（2023）,提供软件应用的开发部署，环境底层操作系统等计算平台资源可以有效地降低硬件购置成本。
第四章,IaaS（2023）,强调弹性云概念，依据自身强大的数据中心与硬件基础设施作为服务的对象，用户按需付费购买所需的数据空间计算性能与定制等附加增值服务。
第四章,大数据5V特征（2016）,体量、多样、速度、价值、质量
第四章,信息技术服务三角形（2020）,顾客，服务人员，服务系统和服务战略组成。
第四章,首席信息官（2017）,首席信息官是负责一个公司或组织信息技术和系统所有领域的高级官员（名词解释：2017年）。
第五章,信息组织（2011）,信息组织，即信息序化或信息整序、信息加工，是指利用科学规则和方法，通过信息外在特征和内容特征的表征和序化，实现无序信息流向有序信息流的转换，保证用户有效获取和利用信息，促进信息有效流通和组合。
第五章,概念,概念是反映客观事物本质属性或特有属性的思维形式概括，是人们对事物的认识上升到理性认识阶段后的产物。
第五章,概念之间的关系（2016）,相容关系（同一关系、属种关系、交叉关系等）和不相容关系（并列关系、矛盾关系、对立关系等）（简答题：2016年）
第五章,概念的逻辑方法,"（一）概念的划分与概括
利用概念内涵由反映事物本质属性的概念因素构成，概念因素的增减可以形成新的概念，概念内涵与外延成反变关系等性质，对概念进行划分或概括形成更为专指或更为范指的新概念。
（二）概念的分析与综合
利用概念的交叉关系中两个概念外延的重合部分可以形成一个新概念，其内涵等于后来两个概念内涵之和，并与原来两个概念具有隶属关系的性质，将一个内涵较深的复杂概念分析为两个或两个以上内涵较浅的简单概念，或者将两个或两个以上的内涵较浅的简单概念综合为一个内涵较深的复杂概念。"
第五章,广义的信息构建（2010）,是指如何组织信息以帮助人们有效实现信息资源与其信息需求相匹配的一门艺术和科学。
第五章,信息构建的主要活动（2015）,信息构建的主要活动是组织信息内容、生成信息结构和设计信息界面，其直接目标是建立一个清晰的、易于理解的信息结构，最终目标是提供给用户一个良好的信息空间环境（简答题：2015年）
第五章,信息建筑师（2013）,21世纪专业化职业，代表着该时代对人类理解清晰、信息组织科学的集中需求。（名词解释：2013年）
第五章,用户体验（2，2024）,用户在网站上方便、快捷地满足其各种需求的行为和感受（名词解释：2016年）。
第五章,"信息描述（2, 2022）",信息描述是根据一定的管理规则和技术标准，对信息的外在特征和部分内容特征进行全面描述并予以记录的过程（名词解释：2021、2022年）。
第五章,元数据,元数据就是关于数据的数据，是任何用于发现、描述和定位网络电子资源的数据。
第五章,信息揭示,信息揭示即对信息的内容特征进行深层次揭示并转换成主题标识，形成一个科学地逻辑概念表示系统。
第五章,信息分析（2017）,信息分析即根据特定的目的和任务，对有关的大量信息进行全面地系统化、综合化和适用化加工，从而形成新信息的过程。
第五章,信息存储,信息存储是按照一定的规律、将各种信息有效地存放在一定的空间中，并能有效地得以索取。
第五章,FRBR（2020）,书目记录功能需求（FRBR）：以用户需求作为描述依据，建立了一个将资源对象基本属性及其对象关系与用户资源发现任务联系起来的概念模型（名词解释：2020年）。
第五章,RDF（2024）,是一种表示国际互联网资源信息的语言。
第五章,OWL,网络本体语言（OWL）：用于对本体进行语义描述，显性地表达本体中词汇的确切含义，揭示其间的语义关系，从而形成对领域知识的共同理解，并通过一定的限制与规划使本体具有一定的推理能力。
第五章,知识组织体系KOS（2017）,知识组织体系（KOS）是各种人类知识结构进行表达和组织的阐述语义工具的统称。
第五章,"KOS的特点（2, 2023）","A、具有从领域知识中抽象出的概念体系   
B、构建被精确定义的概念体系
C、支持概念体系的形式化描述     
D、支持概念体系的知识展示"
第五章,概念图,是表示概念和概念之间相互关系的空间网络结构图。
第五章,主题图,侧重以可视化方式表示知识概念间的相互联系，通过由主题、关联和呈现三个核心概念组成主题图数据模型，用以描述主题、主体间的关联性以及主题与资源实体之间的关系，并联结与其相关的资源。
第五章,分众分类法,由大众意见一致而产生的基于用户的分类体系（标签）
第五章,超文本,是一种管理文本的技术，是网络信息组织的基础。将文本信息存储在许多结节点，通过链接将这些节点连成网状结构。
第五章,自由文本,是对非结构化的文本信息进行组织和处理的一种方式
第五章,二次网络信息（2010）,二次网络信息是指对一次网络信息进行描述、揭示、分析和存储后，形成的有序化、系统化的网络信息资源。（名词解释：2010年）
第五章,搜索引擎（2012）,是目前Internet上对二次网络信息进行组织的主要形式，是报道，存储网络上一次信息的检索工具，其性质作用与传统文献检索工具相同（名词解释：2012年）。
第五章,"个性化信息定制（2017）	",通过用户定制获取用户的个性化信息并理解用户的需求，采用信息代理和信息过滤等方法，为用户提供更准确的网络信息服务。（简答题：2017年）
第六章,信息管理,信息管理是将信息从分散到集中，从无序到有序，从繁杂到精炼，使之不断适应社会需求并使其价值不断提升的过程。
第六章,知识经济（2022）,以现代科学技术为核心的，主要建立在知识和信息的生产、分配、使用和消费的基础之上的经济。
第六章,隐性知识,隐性知识指无法表达或难以表达的知识，多指个人长期实践中积累的经验和体会，有些内容无法记录和明确表达出来，但确实是一种客观存在的知识。
第六章,显性知识,显性知识指已经被解释、记录或形成文档的知识，这种知识显而易见，是人们学习知识的主要来源。
第六章,信息服务,信息服务就是特定的信息管理服务机构针对用户的信息需求或知识需求，及时地将信息和知识提供给用户。信息用户本质上就是一种信息的传递，是一个完善的结构性系统。
第六章,知识服务,知识服务可以为用户提供更为理想的支持，满足当前用户更高的要求。知识服务往往能够深层次挖掘文献资料的隐形知识点，进而也就能够为用户提供更为详细全面的知识内容，促使相关文献资料能够发挥出更强应用价值。
第六章,编译服务,将国内外文献资料进行筛选、分析、加工，从中提炼出能够满足用户需求的相关信息并编制成汇编、手册、选编等参考资料。
第六章,OATS,为用户提供所需要的单篇原始文献的服务
第六章,SDI（2009）,见书表6-4专门信息服务举例
第六章,馆际互借(ILL)（2011）,图书馆之间通过互相借阅、交换、馆际文献传递等方式，满足用户对本馆无法提供的资料的需求。
第六章,近期文献目次服务(CCS),提供一定学科或主题的核心期刊或会议论文集的最新目次或摘要，使用户了解该学科或主题的发展动态。
第六章,科技查新咨询服务,为满足科研人员的研究立项、成果鉴定、申请专利、申报奖励等方面的需要，通过手工与计算机检索等手段，运用对比方法、综合分析，提供其新颖性、先进性和实用性的文献依据。
